date,state,cases,deaths
7/25/2020,Alabama,78130,1456
7/25/2020,Alaska,2866,18
7/25/2020,Arizona,160055,3288
7/25/2020,Arkansas,37981,399
7/25/2020,California,453327,8428
7/25/2020,Colorado,43847,1795
7/25/2020,Connecticut,48776,4413
7/25/2020,Delaware,14175,579
7/25/2020,District of Columbia,11717,581
7/25/2020,Florida,414503,5776
7/25/2020,Georgia,151262,3421
7/25/2020,Guam,1306,6
7/25/2020,Hawaii,1597,25
7/25/2020,Idaho,17920,150
7/25/2020,Illinois,171669,7593
7/25/2020,Indiana,63030,2895
7/25/2020,Iowa,41886,826
7/25/2020,Kansas,25464,333
7/25/2020,Kentucky,27395,717
7/25/2020,Louisiana,103846,3715
7/25/2020,Maine,3790,119
7/25/2020,Maryland,83617,3433
7/25/2020,Massachusetts,115268,8510
7/25/2020,Michigan,85665,6402
7/25/2020,Minnesota,50331,1611
7/25/2020,Mississippi,51097,1480
7/25/2020,Missouri,42310,1224
7/25/2020,Montana,3260,46
7/25/2020,Nebraska,24412,322
7/25/2020,Nevada,41993,733
7/25/2020,New Hampshire,6415,409
7/25/2020,New Jersey,180778,15776
7/25/2020,New Mexico,18788,607
7/25/2020,New York,415911,32295
7/25/2020,North Carolina,111282,1801
7/25/2020,North Dakota,5740,103
7/25/2020,Northern Mariana Islands,40,2
7/25/2020,Ohio,83184,3297
7/25/2020,Oklahoma,30081,496
7/25/2020,Oregon,16492,286
7/25/2020,Pennsylvania,111121,7167
7/25/2020,Puerto Rico,14540,201
7/25/2020,Rhode Island,18224,1002
7/25/2020,South Carolina,80008,1465
7/25/2020,South Dakota,8305,122
7/25/2020,Tennessee,88459,953
7/25/2020,Texas,391609,5002
7/25/2020,Utah,37623,278
7/25/2020,Vermont,1396,56
7/25/2020,Virgin Islands,352,7
7/25/2020,Virginia,83460,2073
7/25/2020,Washington,53884,1592
7/25/2020,West Virginia,5821,103
7/25/2020,Wisconsin,51735,900
7/25/2020,Wyoming,2446,25
7/26/2020,Alabama,79294,1473
7/26/2020,Alaska,3100,18
7/26/2020,Arizona,162041,3313
7/26/2020,Arkansas,38623,401
7/26/2020,California,459338,8451
7/26/2020,Colorado,44364,1795
7/26/2020,Connecticut,48776,4413
7/26/2020,Delaware,14290,579
7/26/2020,District of Columbia,11780,581
7/26/2020,Florida,423847,5853
7/26/2020,Georgia,153476,3424
7/26/2020,Guam,1306,6
7/26/2020,Hawaii,1660,25
7/26/2020,Idaho,18262,150
7/26/2020,Illinois,173079,7595
7/26/2020,Indiana,63881,2903
7/26/2020,Iowa,42357,829
7/26/2020,Kansas,25649,335
7/26/2020,Kentucky,27682,718
7/26/2020,Louisiana,107686,3763
7/26/2020,Maine,3814,119
7/26/2020,Maryland,84306,3440
7/26/2020,Massachusetts,115637,8529
7/26/2020,Michigan,86750,6402
7/26/2020,Minnesota,51193,1614
7/26/2020,Mississippi,52304,1495
7/26/2020,Missouri,43477,1231
7/26/2020,Montana,3342,46
7/26/2020,Nebraska,24618,322
7/26/2020,Nevada,42919,734
7/26/2020,New Hampshire,6436,409
7/26/2020,New Jersey,181283,15787
7/26/2020,New Mexico,19053,614
7/26/2020,New York,416443,32305
7/26/2020,North Carolina,112802,1807
7/26/2020,North Dakota,5880,103
7/26/2020,Northern Mariana Islands,40,2
7/26/2020,Ohio,84073,3307
7/26/2020,Oklahoma,31285,496
7/26/2020,Oregon,16764,291
7/26/2020,Pennsylvania,111773,7170
7/26/2020,Puerto Rico,15143,201
7/26/2020,Rhode Island,18224,1002
7/26/2020,South Carolina,81199,1491
7/26/2020,South Dakota,8395,123
7/26/2020,Tennessee,91330,955
7/26/2020,Texas,395738,5090
7/26/2020,Utah,37973,278
7/26/2020,Vermont,1400,56
7/26/2020,Virgin Islands,361,7
7/26/2020,Virginia,84418,2076
7/26/2020,Washington,54422,1596
7/26/2020,West Virginia,5960,103
7/26/2020,Wisconsin,52685,901
7/26/2020,Wyoming,2475,25
7/27/2020,Alabama,81115,1491
7/27/2020,Alaska,3204,19
7/27/2020,Arizona,163918,3320
7/27/2020,Arkansas,39447,408
7/27/2020,California,467103,8544
7/27/2020,Colorado,44723,1800
7/27/2020,Connecticut,48983,4418
7/27/2020,Delaware,14406,579
7/27/2020,District of Columbia,11858,582
7/27/2020,Florida,432739,5930
7/27/2020,Georgia,155907,3435
7/27/2020,Guam,1315,6
7/27/2020,Hawaii,1688,25
7/27/2020,Idaho,18836,159
7/27/2020,Illinois,174442,7619
7/27/2020,Indiana,64417,2906
7/27/2020,Iowa,42696,836
7/27/2020,Kansas,26439,338
7/27/2020,Kentucky,28250,726
7/27/2020,Louisiana,110029,3786
7/27/2020,Maine,3832,119
7/27/2020,Maryland,85436,3447
7/27/2020,Massachusetts,115926,8536
7/27/2020,Michigan,87329,6407
7/27/2020,Minnesota,51843,1616
7/27/2020,Mississippi,52957,1501
7/27/2020,Missouri,44813,1245
7/27/2020,Montana,3406,47
7/27/2020,Nebraska,24899,322
7/27/2020,Nevada,43880,739
7/27/2020,New Hampshire,6441,409
7/27/2020,New Jersey,181732,15804
7/27/2020,New Mexico,19502,619
7/27/2020,New York,417056,32322
7/27/2020,North Carolina,114612,1815
7/27/2020,North Dakota,5990,103
7/27/2020,Northern Mariana Islands,40,2
7/27/2020,Ohio,85177,3344
7/27/2020,Oklahoma,32529,495
7/27/2020,Oregon,17122,289
7/27/2020,Pennsylvania,112995,7174
7/27/2020,Puerto Rico,15431,201
7/27/2020,Rhode Island,18515,1004
7/27/2020,South Carolina,82417,1506
7/27/2020,South Dakota,8444,123
7/27/2020,Tennessee,93869,965
7/27/2020,Texas,402295,6292
7/27/2020,Utah,38439,285
7/27/2020,Vermont,1402,56
7/27/2020,Virgin Islands,375,7
7/27/2020,Virginia,85923,2080
7/27/2020,Washington,55548,1611
7/27/2020,West Virginia,6054,106
7/27/2020,Wisconsin,53323,905
7/27/2020,Wyoming,2520,25
7/28/2020,Alabama,82366,1491
7/28/2020,Alaska,3348,20
7/28/2020,Arizona,165994,3424
7/28/2020,Arkansas,40181,428
7/28/2020,California,474951,8716
7/28/2020,Colorado,45420,1809
7/28/2020,Connecticut,49077,4423
7/28/2020,Delaware,14476,580
7/28/2020,District of Columbia,11945,583
7/28/2020,Florida,441969,6116
7/28/2020,Georgia,160038,3488
7/28/2020,Guam,1318,6
7/28/2020,Hawaii,1734,25
7/28/2020,Idaho,19318,168
7/28/2020,Illinois,175588,7645
7/28/2020,Indiana,65258,2924
7/28/2020,Iowa,42928,839
7/28/2020,Kansas,26494,344
7/28/2020,Kentucky,28876,735
7/28/2020,Louisiana,111150,3812
7/28/2020,Maine,3838,121
7/28/2020,Maryland,86091,3458
7/28/2020,Massachusetts,116182,8551
7/28/2020,Michigan,88025,6426
7/28/2020,Minnesota,52321,1620
7/28/2020,Mississippi,54299,1543
7/28/2020,Missouri,46225,1263
7/28/2020,Montana,3491,52
7/28/2020,Nebraska,25140,326
7/28/2020,Nevada,44991,760
7/28/2020,New Hampshire,6500,409
7/28/2020,New Jersey,182215,15825
7/28/2020,New Mexico,19791,626
7/28/2020,New York,417591,32333
7/28/2020,North Carolina,116300,1847
7/28/2020,North Dakota,6145,104
7/28/2020,Northern Mariana Islands,40,2
7/28/2020,Ohio,86497,3382
7/28/2020,Oklahoma,33757,509
7/28/2020,Oregon,17419,305
7/28/2020,Pennsylvania,114129,7197
7/28/2020,Puerto Rico,15840,209
7/28/2020,Rhode Island,18725,1005
7/28/2020,South Carolina,84109,1565
7/28/2020,South Dakota,8492,123
7/28/2020,Tennessee,96318,988
7/28/2020,Texas,412849,6518
7/28/2020,Utah,38877,290
7/28/2020,Vermont,1405,56
7/28/2020,Virgin Islands,375,7
7/28/2020,Virginia,86839,2093
7/28/2020,Washington,56576,1633
7/28/2020,West Virginia,6173,111
7/28/2020,Wisconsin,54114,916
7/28/2020,Wyoming,2589,26
7/29/2020,Alabama,83782,1538
7/29/2020,Alaska,3440,20
7/29/2020,Arizona,168361,3470
7/29/2020,Arkansas,40968,434
7/29/2020,California,486039,8884
7/29/2020,Colorado,45885,1826
7/29/2020,Connecticut,49540,4425
7/29/2020,Delaware,14602,581
7/29/2020,District of Columbia,11999,584
7/29/2020,Florida,451415,6332
7/29/2020,Georgia,163547,3566
7/29/2020,Guam,1320,6
7/29/2020,Hawaii,1842,25
7/29/2020,Idaho,19810,176
7/29/2020,Illinois,176967,7661
7/29/2020,Indiana,65918,2932
7/29/2020,Iowa,43623,854
7/29/2020,Kansas,27177,349
7/29/2020,Kentucky,29479,746
7/29/2020,Louisiana,112887,3883
7/29/2020,Maine,3866,121
7/29/2020,Maryland,86846,3478
7/29/2020,Massachusetts,116684,8580
7/29/2020,Michigan,89026,6426
7/29/2020,Minnesota,52987,1629
7/29/2020,Mississippi,55804,1563
7/29/2020,Missouri,47683,1269
7/29/2020,Montana,3695,54
7/29/2020,Nebraska,25448,331
7/29/2020,Nevada,45937,782
7/29/2020,New Hampshire,6513,411
7/29/2020,New Jersey,182475,15798
7/29/2020,New Mexico,20136,632
7/29/2020,New York,418302,32342
7/29/2020,North Carolina,118027,1889
7/29/2020,North Dakota,6231,106
7/29/2020,Northern Mariana Islands,40,2
7/29/2020,Ohio,87893,3422
7/29/2020,Oklahoma,34605,523
7/29/2020,Oregon,17805,313
7/29/2020,Pennsylvania,114984,7219
7/29/2020,Puerto Rico,16061,211
7/29/2020,Rhode Island,18800,1007
7/29/2020,South Carolina,85846,1615
7/29/2020,South Dakota,8641,129
7/29/2020,Tennessee,98145,1008
7/29/2020,Texas,421891,6834
7/29/2020,Utah,39339,297
7/29/2020,Vermont,1406,56
7/29/2020,Virgin Islands,385,8
7/29/2020,Virginia,87837,2122
7/29/2020,Washington,57300,1643
7/29/2020,West Virginia,6326,112
7/29/2020,Wisconsin,55119,920
7/29/2020,Wyoming,2628,26
7/30/2020,Alabama,85762,1565
7/30/2020,Alaska,3557,21
7/30/2020,Arizona,170905,3628
7/30/2020,Arkansas,41759,442
7/30/2020,California,494269,9009
7/30/2020,Colorado,46338,1826
7/30/2020,Connecticut,49670,4431
7/30/2020,Delaware,14689,581
7/30/2020,District of Columbia,12057,584
7/30/2020,Florida,461371,6585
7/30/2020,Georgia,167545,3596
7/30/2020,Guam,1323,6
7/30/2020,Hawaii,1966,25
7/30/2020,Idaho,20378,180
7/30/2020,Illinois,178832,7677
7/30/2020,Indiana,66883,2946
7/30/2020,Iowa,44285,865
7/30/2020,Kansas,27244,357
7/30/2020,Kentucky,30132,748
7/30/2020,Louisiana,114595,3925
7/30/2020,Maine,3888,122
7/30/2020,Maryland,87740,3488
7/30/2020,Massachusetts,117098,8595
7/30/2020,Michigan,89926,6446
7/30/2020,Minnesota,53732,1634
7/30/2020,Mississippi,57579,1611
7/30/2020,Missouri,49671,1288
7/30/2020,Montana,3829,55
7/30/2020,Nebraska,25766,333
7/30/2020,Nevada,47034,805
7/30/2020,New Hampshire,6544,415
7/30/2020,New Jersey,182845,15809
7/30/2020,New Mexico,20388,635
7/30/2020,New York,419081,32362
7/30/2020,North Carolina,120391,1929
7/30/2020,North Dakota,6305,107
7/30/2020,Northern Mariana Islands,42,2
7/30/2020,Ohio,89626,3442
7/30/2020,Oklahoma,35710,536
7/30/2020,Oregon,18166,318
7/30/2020,Pennsylvania,115853,7248
7/30/2020,Puerto Rico,16572,214
7/30/2020,Rhode Island,18950,1007
7/30/2020,South Carolina,87572,1667
7/30/2020,South Dakota,8685,129
7/30/2020,Tennessee,100166,1022
7/30/2020,Texas,432134,6987
7/30/2020,Utah,39714,303
7/30/2020,Vermont,1407,57
7/30/2020,Virgin Islands,385,8
7/30/2020,Virginia,88745,2138
7/30/2020,Washington,58100,1653
7/30/2020,West Virginia,6422,115
7/30/2020,Wisconsin,56111,928
7/30/2020,Wyoming,2686,26
7/31/2020,Alabama,87723,1580
7/31/2020,Alaska,3675,21
7/31/2020,Arizona,174108,3695
7/31/2020,Arkansas,42511,453
7/31/2020,California,502273,9222
7/31/2020,Colorado,46948,1841
7/31/2020,Connecticut,49810,4432
7/31/2020,Delaware,14788,585
7/31/2020,District of Columbia,12126,585
7/31/2020,Florida,470378,6842
7/31/2020,Georgia,171342,3674
7/31/2020,Guam,1325,6
7/31/2020,Hawaii,2088,25
7/31/2020,Idaho,20853,193
7/31/2020,Illinois,180701,7703
7/31/2020,Indiana,67800,2965
7/31/2020,Iowa,44753,872
7/31/2020,Kansas,28121,358
7/31/2020,Kentucky,30981,753
7/31/2020,Louisiana,116394,3949
7/31/2020,Maine,3912,123
7/31/2020,Maryland,88907,3493
7/31/2020,Massachusetts,117612,8609
7/31/2020,Michigan,90752,6453
7/31/2020,Minnesota,54503,1640
7/31/2020,Mississippi,58747,1663
7/31/2020,Missouri,51045,1305
7/31/2020,Montana,3977,60
7/31/2020,Nebraska,26211,338
7/31/2020,Nevada,48142,831
7/31/2020,New Hampshire,6583,415
7/31/2020,New Jersey,183535,15819
7/31/2020,New Mexico,20600,642
7/31/2020,New York,419723,32372
7/31/2020,North Carolina,122370,1947
7/31/2020,North Dakota,6473,107
7/31/2020,Northern Mariana Islands,42,2
7/31/2020,Ohio,91159,3489
7/31/2020,Oklahoma,36456,541
7/31/2020,Oregon,18510,325
7/31/2020,Pennsylvania,116787,7261
7/31/2020,Puerto Rico,16781,219
7/31/2020,Rhode Island,19022,1007
7/31/2020,South Carolina,89016,1712
7/31/2020,South Dakota,8764,130
7/31/2020,Tennessee,103144,1047
7/31/2020,Texas,441767,7271
7/31/2020,Utah,40258,308
7/31/2020,Vermont,1414,57
7/31/2020,Virgin Islands,406,8
7/31/2020,Virginia,89729,2171
7/31/2020,Washington,58726,1654
7/31/2020,West Virginia,6642,116
7/31/2020,Wisconsin,57020,943
7/31/2020,Wyoming,2726,26
8/1/2020,Alabama,89349,1603
8/1/2020,Alaska,3825,22
8/1/2020,Arizona,177019,3753
8/1/2020,Arkansas,43173,458
8/1/2020,California,509507,9365
8/1/2020,Colorado,47357,1846
8/1/2020,Connecticut,49810,4432
8/1/2020,Delaware,14877,585
8/1/2020,District of Columbia,12205,585
8/1/2020,Florida,480020,7021
8/1/2020,Georgia,174834,3744
8/1/2020,Guam,1328,6
8/1/2020,Hawaii,2174,25
8/1/2020,Idaho,21231,197
8/1/2020,Illinois,182232,7707
8/1/2020,Indiana,68773,2971
8/1/2020,Iowa,45293,874
8/1/2020,Kansas,28147,358
8/1/2020,Kentucky,31612,758
8/1/2020,Louisiana,116394,3949
8/1/2020,Maine,3937,123
8/1/2020,Maryland,89925,3506
8/1/2020,Massachusetts,118040,8626
8/1/2020,Michigan,91450,6460
8/1/2020,Minnesota,55228,1646
8/1/2020,Mississippi,59881,1693
8/1/2020,Missouri,51985,1311
8/1/2020,Montana,4081,61
8/1/2020,Nebraska,26391,338
8/1/2020,Nevada,49207,832
8/1/2020,New Hampshire,6613,416
8/1/2020,New Jersey,183904,15830
8/1/2020,New Mexico,20796,651
8/1/2020,New York,420477,32390
8/1/2020,North Carolina,124015,1989
8/1/2020,North Dakota,6606,107
8/1/2020,Northern Mariana Islands,44,2
8/1/2020,Ohio,92087,3515
8/1/2020,Oklahoma,37706,549
8/1/2020,Oregon,18817,329
8/1/2020,Pennsylvania,117468,7270
8/1/2020,Puerto Rico,17872,225
8/1/2020,Rhode Island,19022,1007
8/1/2020,South Carolina,90599,1751
8/1/2020,South Dakota,8867,134
8/1/2020,Tennessee,105455,1056
8/1/2020,Texas,448224,7477
8/1/2020,Utah,40754,312
8/1/2020,Vermont,1421,57
8/1/2020,Virgin Islands,421,8
8/1/2020,Virginia,90633,2212
8/1/2020,Washington,59649,1676
8/1/2020,West Virginia,6735,116
8/1/2020,Wisconsin,58064,955
8/1/2020,Wyoming,2769,26
8/2/2020,Alabama,91444,1627
8/2/2020,Alaska,3982,22
8/2/2020,Arizona,178473,3769
8/2/2020,Arkansas,43810,464
8/2/2020,California,515937,9399
8/2/2020,Colorado,47799,1846
8/2/2020,Connecticut,49810,4432
8/2/2020,Delaware,14949,585
8/2/2020,District of Columbia,12274,586
8/2/2020,Florida,487124,7083
8/2/2020,Georgia,177556,3758
8/2/2020,Guam,1328,6
8/2/2020,Hawaii,2219,25
8/2/2020,Idaho,21465,197
8/2/2020,Illinois,183714,7718
8/2/2020,Indiana,69531,2975
8/2/2020,Iowa,45723,878
8/2/2020,Kansas,28341,361
8/2/2020,Kentucky,31966,759
8/2/2020,Louisiana,119861,4007
8/2/2020,Maine,3958,123
8/2/2020,Maryland,90835,3515
8/2/2020,Massachusetts,118458,8638
8/2/2020,Michigan,91857,6460
8/2/2020,Minnesota,55987,1654
8/2/2020,Mississippi,60553,1703
8/2/2020,Missouri,52550,1311
8/2/2020,Montana,4193,61
8/2/2020,Nebraska,26702,338
8/2/2020,Nevada,50270,833
8/2/2020,New Hampshire,6634,417
8/2/2020,New Jersey,184225,15836
8/2/2020,New Mexico,21016,654
8/2/2020,New York,421008,32401
8/2/2020,North Carolina,125281,1996
8/2/2020,North Dakota,6664,109
8/2/2020,Northern Mariana Islands,45,2
8/2/2020,Ohio,93031,3529
8/2/2020,Oklahoma,38201,550
8/2/2020,Oregon,19097,331
8/2/2020,Pennsylvania,118038,7274
8/2/2020,Puerto Rico,18411,230
8/2/2020,Rhode Island,19022,1007
8/2/2020,South Carolina,91788,1777
8/2/2020,South Dakota,8955,135
8/2/2020,Tennessee,106804,1062
8/2/2020,Texas,453291,7518
8/2/2020,Utah,41175,313
8/2/2020,Vermont,1426,57
8/2/2020,Virgin Islands,421,8
8/2/2020,Virginia,91613,2215
8/2/2020,Washington,60161,1680
8/2/2020,West Virginia,6854,117
8/2/2020,Wisconsin,58990,956
8/2/2020,Wyoming,2808,26
8/3/2020,Alabama,92661,1633
8/3/2020,Alaska,4062,23
8/3/2020,Arizona,179506,3785
8/3/2020,Arkansas,44597,475
8/3/2020,California,522235,9500
8/3/2020,Colorado,48119,1849
8/3/2020,Connecticut,50062,4437
8/3/2020,Delaware,15055,585
8/3/2020,District of Columbia,12313,586
8/3/2020,Florida,491876,7156
8/3/2020,Georgia,179510,3760
8/3/2020,Guam,1337,6
8/3/2020,Hawaii,2425,25
8/3/2020,Idaho,21838,202
8/3/2020,Illinois,185238,7728
8/3/2020,Indiana,70111,2980
8/3/2020,Iowa,45905,884
8/3/2020,Kansas,29200,366
8/3/2020,Kentucky,32500,762
8/3/2020,Louisiana,120960,4024
8/3/2020,Maine,3970,124
8/3/2020,Maryland,91705,3523
8/3/2020,Massachusetts,118657,8648
8/3/2020,Michigan,92503,6470
